source_id,ra,dec,parallax,parallax_error,pm,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,g_rp,ruwe,l,b,w1mag,w2mag,allwise_id,wise_cc_flags,jmag,hmag,kmag,twomass_id,G-W2,J-K,dist_pc,abs_g
1711542959923056000,210.57529999338533,73.75968062676736,3.597659875976454,0.6105639,235.5979,-219.07474079121448,-86.67543912102212,20.563559,21.43842,19.479921,1.958498,1.0836372,0.96699303,116.30950284888186,42.445248802156776,17.026,16.933,J140217.84+734518.6,0000,,,,,3.630558435424806,,277.95846035294994,13.343659512989806
6451143098815206912,313.50809295625595,-62.42741882817096,5.669788158056111,0.90075064,214.07185,160.60878889625516,-141.53294827243977,20.55757,21.142391,19.092556,2.0498352,1.4650135,1.0920022,333.2372626951072,-37.89353261995088,15.543,15.669,J205358.17-622540.9,0000,16.023000717163086,15.684000015258787,15.489999771118164,20535824-6225418,4.888570328063963,0.5330009460449219,176.37343267915858,14.325404162625034
4875163437196227840,76.04241368527595,-32.349896442496615,2.678612398264506,0.5350819,212.9477,203.1420314732873,-63.87515409890518,20.5162,21.08668,19.52233,1.5643501,0.9938698,1.0131948,234.789640496908,-35.67505265637342,17.963,17.393,J050409.11-322052.0,0000,,,,,3.1232003509521498,,373.32762315589514,12.655749373428444
4790837561134237312,67.58535830886353,-45.28224116110568,3.359409842097932,0.5677259,231.37541,66.30313575583861,-221.6719927206261,20.515047,21.496344,19.286999,2.2093449,1.2280483,1.0931228,250.82865599487343,-43.28614518597749,16.731,16.418,J043020.47-451654.6,0000,15.57800006866455,15.095999717712402,14.86400032043457,04302111-4517099,4.097047732421874,0.7139997482299805,297.67133127630115,13.146361951187743
2471298382250296320,20.59138930247622,-9.062775140450505,6.095869166429017,0.8547486,233.84229,232.4162977841404,25.785184001433585,20.510948,22.041138,18.984512,3.0566254,1.5264359,1.1310066,146.4006890750183,-70.51217183524254,17.165,16.776,J012223.13-090327.7,0000,16.507999420166016,16.174999237060547,15.137999534606934,01222166-0903465,3.734948930786132,1.369999885559082,164.0455155283137,14.436126186582523
3979080427133597184,175.28064704916213,20.3282996773152,7.818545806209439,1.1105931,245.7981,-7.213749279763287,-245.69222240798803,20.509361,21.700508,18.996346,2.7041626,1.5130157,1.0705016,232.09812011046927,72.55280993810942,17.073,17.063,J114106.62+202005.8,0000,17.018999099731445,16.048999786376953,15.319000244140623,11410738+2019464,3.446361274658201,1.6999988555908203,127.90102210641349,14.974990924463583
759888428875227264,173.63314219019745,36.389109504820425,6.014054496039089,0.84975,225.15141,-213.2741755779072,-72.16150487474707,20.502634,20.74374,19.584532,1.1592083,0.91810226,1.0962255,178.5477377490306,71.26355722970443,17.036,16.916,J113433.40+362319.0,0000,,,,,3.586633633789063,,166.27717634727273,14.398470795594886
6815573861313175168,321.8182545241766,-24.094256838950187,7.596586748262156,1.0708153,219.58195,194.12007022850432,-102.63348125688098,20.502207,21.65034,19.024567,2.6257725,1.4776402,1.0629624,24.78640122095516,-44.18568642654895,15.065,14.73,J212716.29-240538.7,0000,16.19099998474121,15.510000228881836,15.104999542236328,21271615-2405376,5.77220745776367,1.0860004425048828,131.638067613559,14.90529950787312
1236052147104480640,218.1866966641968,18.30123806061446,5.009003550891201,0.9127409,235.91852,-104.75266269645768,-211.3869070151981,20.499855,21.608362,19.088789,2.5195732,1.411066,1.0750268,17.53623212541868,65.0854456752032,16.252,15.902,J143244.85+181805.4,0000,15.989999771118164,15.439000129699709,15.314000129699709,14324382+1817386,4.597854572753906,0.675999641418457,199.6405053100991,13.998611697808629
1567438354646899712,193.2493882410207,49.61835284722604,4.542777583934526,0.6480481,232.1223,-209.90886143967103,-99.0910416086902,20.49543,21.324883,19.11235,2.212532,1.3830795,1.0355622,122.27158333735731,67.50789743016566,17.218,17.082,J125301.29+493640.4,0000,,,,,3.413429267578124,,220.12964128741126,13.782037370585869
