source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,bp_rp,parallax_error,pmra_error,pmdec_error
279609109776165760,74.98805758733997,56.12704116927271,21.094304297211803,42.531542981640854,-127.25835915970222,14.88023,2.9010954,0.026353352,0.028888876,0.023545427
280225450466067968,80.54030493232503,57.90065325999741,44.59539440325363,-46.54503764481902,-138.66508068115166,17.305668,4.9175806,0.12624364,0.10048416,0.09625119
287811294720622208,87.96582000692949,64.39834986892863,22.574364899916066,-52.370887588432794,36.9806126797547,13.546116,2.5880995,0.017521018,0.012482879,0.013828361
333106054183616000,33.22952038998692,40.66793244112762,37.89450093190001,68.84933279170477,-102.70175343065662,7.030241,0.8441496,0.06360093,0.07388819,0.06679021
334953061919167872,37.97571882770577,40.06426420823852,22.344860343957567,198.32050899358322,-1.1013762554675024,13.7077875,2.7528124,0.024169708,0.022437513,0.024000544
337064708360169600,40.047171042747095,42.47968881364868,21.103349367505757,137.03445327421707,-33.764699607715826,14.021357,2.9131575,0.022939716,0.028180169,0.024661524
338094740299867008,36.16943638810095,40.139060821095256,24.13429809583044,-120.34753370241374,-153.7350844648755,9.52422,1.2840471,0.016821306,0.018040046,0.017035836
353394139660510464,32.64792567239573,46.6969996992374,47.2454956368986,43.226149914561745,-977.193201073605,14.1100025,3.267723,0.04002752,0.038534854,0.038959533
354996677857969920,33.24685700112816,48.175341033851765,24.703825672566815,-251.630369415237,-202.45905585481648,12.599262,2.2455206,0.020153025,0.021926364,0.024975637
358249819229900672,32.225052363016104,49.44771631277939,58.51079100759136,236.42870132735945,-291.17762090281104,11.273232,2.662877,0.028364684,0.030702047,0.03969271
358269546017619840,31.76767495536706,49.643504110332174,69.83235108346754,234.24838979938107,-427.9513060358248,11.076443,2.5420942,0.028519573,0.030371824,0.039431293
358275352812913792,32.05997446163482,49.814660783461164,39.05575491519249,410.87258002514614,-555.6861490298471,15.632439,3.9189568,0.060216017,0.07541564,0.07247201
359715472527464448,28.612036151758225,52.51071069945504,23.753429259205543,37.11863773212433,-62.03141137604811,15.748315,3.3274488,0.0420357,0.04948603,0.045489877
404495179513270784,15.185764403273332,50.92867603645365,25.12738017438487,116.31566241994139,-89.02033659303832,16.097586,3.8083096,0.055002775,0.04969821,0.04384974
405644478400338176,24.780436713396018,49.51183605922839,29.365034366733,-84.03835352840582,-113.43655571938092,13.634276,2.479208,0.017320514,0.016476085,0.01522465
408017258854193280,26.635194509231386,53.12047252850359,20.034258671265423,88.01774422641621,217.57945061532436,13.585808,2.236721,0.016430559,0.016232021,0.01638504
408560761196368512,26.790392545616353,55.07313755581155,33.26603125869414,294.2758807423848,-348.44599976986217,14.940904,3.158105,0.028400324,0.027041959,0.028658064
410672476356699904,20.137722953949766,53.641901422887344,20.392417466250066,98.88413297451876,-110.52286545424488,14.966836,2.941721,0.030842356,0.026443055,0.021783726
414103708555300480,18.54392732400862,58.81212451649474,23.478505749573884,19.166005935619815,-46.79780258523287,7.0608582,0.671783,0.01820895,0.013100479,0.016497768
414335602422481920,12.687078545107894,48.26040462565598,22.236215927497728,-30.77117165223998,12.22988984467109,16.186104,3.4620504,0.056854144,0.045730505,0.04106098
419121948343397888,4.943235713507629,52.22031059256852,50.30688654250263,310.27210190811525,-278.8531989449751,17.327671,4.621605,0.11685384,0.08442661,0.10626598
420235478744248192,2.143492662025061,54.89522980469807,29.387964835571545,-79.52480043302843,2.5041480775162563,17.582922,4.59367,0.110729076,0.09616849,0.09839469
420654804990989696,1.9686210885240534,55.577085305277805,20.483813190406288,203.25814801657648,9.589186276560454,7.6867485,0.75003386,0.018514665,0.015600351,0.017501278
422955911028411776,3.972354056658845,58.68311482954212,21.816767546814543,-11.721066356167526,-89.28814880313095,14.791019,2.9030104,0.021917542,0.019660575,0.024460582
429775730677799168,2.6064254652905383,62.2105365239756,37.88039796060116,-28.67856200208066,31.440875925046694,12.53955,2.7205038,0.016498215,0.015853249,0.019391784
435215328237649024,50.03078528682588,47.28118835381939,22.724151824358565,104.54256272690193,-90.63896340754471,8.017503,0.8290119,0.030550359,0.032580003,0.03190623
435646474233078144,50.47011742630577,49.070624555513696,22.77329027474711,181.30900537759504,-63.08858515882174,5.8338976,0.60162735,0.03668934,0.06692991,0.047403947
441131353629184384,44.39849074381396,52.88692930533223,26.022484149835243,-55.132189362286354,-9.549930071498721,17.551092,4.1468143,0.13298798,0.10843281,0.12665415
441949974395380480,53.451990098483556,50.37861280106329,21.06100022008971,-51.29867588282166,-153.8993755585867,9.388353,1.174386,0.017506566,0.015784392,0.016825868
443981459566052992,54.28839558268538,52.888252736663716,22.567815583906313,166.6954130240626,50.28234226639417,15.381023,2.896061,0.03338643,0.029886497,0.031700835
448609544524175744,52.72159038850692,56.45894900162449,21.48271121364644,158.56071154163374,-20.502422923800058,13.027396,2.663104,0.016947772,0.016417261,0.016512658
451800567787263872,35.5301883318831,51.126386321972845,23.27867101336959,188.17455312704917,5.40036554652686,13.293469,2.6746597,0.025907323,0.02881808,0.033951573
