source_id,ra,dec,parallax,parallax_over_error,pm,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,astrometric_excess_noise,ruwe
834838734926085888,156.17614797204104,49.235074041791215,11.590076192181574,27.207678,206.44095,-182.42593102680289,-96.63665031356405,19.715807,20.083479,19.197758,0.8857212,0.0,0.98765856
850539348654103296,160.38705325734156,55.18966376708007,10.944950990217722,28.240425,117.40005,89.5607231138952,-75.90552387264829,19.955307,20.330873,19.334724,0.99614906,0.0,1.0202105
916679306686599424,130.2271885769378,43.43890417235601,19.999576256959173,97.626686,245.79922,-245.79699944781927,-1.0448506404105786,18.33077,21.224085,16.827105,4.3969803,0.8455715,1.0428815
921659093634512640,122.24581658696356,41.12794572530701,18.118738560298866,20.905952,34.028,1.5333557625524321,-33.99343347554638,20.533497,19.575264,19.006186,0.56907845,0.71851003,1.0670033
935585340408437888,122.02201601072626,52.29583538887756,12.288042787397309,37.918064,49.788403,28.560553050737987,-40.782101875779674,19.350664,19.893196,18.77014,1.1230564,0.0,0.95611966
962916691212352000,91.60426883339306,45.52086688830146,12.876972388187784,30.745731,211.62239,-118.96802005175039,-175.0161381602223,19.122189,21.260523,17.538637,3.7218857,0.9592126,1.0405766
976027607164699392,114.17298856968803,48.60697961975598,10.48617282410035,25.200811,67.26685,12.469694236914723,-66.10095871886038,19.608633,20.109001,19.074469,1.0345325,0.0,0.99341244
980439500657317376,108.62572453755824,51.32385716507423,15.889999674750884,43.879833,320.76346,-83.25846011506673,-309.7696420814171,19.490799,19.983507,18.816305,1.167202,0.0,0.98838884
988299771838538752,107.07283264561498,55.70594466420834,10.710382949276273,31.258364,156.31642,-109.57397728039652,-111.48259416139874,19.64941,20.145153,19.054075,1.0910778,0.0,0.9738174
992817115361790848,98.3659530160012,52.77320975842883,10.396197466777247,23.462812,68.80531,27.017155374408738,63.27910245231388,19.80085,20.340145,19.341753,0.9983921,0.0,1.0291576
1005056535204966144,98.54766276213401,60.466456121639794,20.36491621715089,119.11245,106.324394,94.67675189221214,-48.38583766735544,18.497202,19.020819,17.91862,1.1021996,0.28489885,1.0528414
1014142383899931392,133.86396097035828,48.51936928331008,12.761099181760411,39.724327,282.65466,-130.88092874286144,-250.52713025209297,19.143019,19.551098,18.618753,0.93234444,0.0,1.0039086
1018659143306715392,142.60945828317546,50.56112134909542,13.401691084405439,39.94384,419.05212,-224.80781821847086,-353.6469103986665,19.431276,20.089891,18.72281,1.3670807,0.7087726,1.0444981
1034608796419095680,129.60341182964012,58.166296033575705,11.770489890939654,44.347885,44.337795,-41.315984550000536,-16.088178529554114,19.246964,21.328857,17.771729,3.557129,0.70068705,1.0348641
1035912817209053184,134.6099581010101,55.1138266650229,18.771648988706765,100.75935,107.37656,-42.309011769114804,-98.68977718356177,18.441385,21.564646,16.910316,4.6543293,0.4681859,0.9530744
1046272278327439872,148.2660118168023,57.19595905068622,12.496870147078551,40.01044,152.0163,-138.77512598119904,-62.05172999348922,19.695797,20.264578,19.120394,1.1441841,0.0,1.0255429
1064196589898916096,143.39721422663132,63.351636893805654,13.107231164679012,38.888634,435.95828,-116.2527929819883,-420.17248802856113,19.79039,20.337019,19.02447,1.3125496,0.7463798,1.0627079
1078762846927880192,169.15064395170876,73.38673507268726,15.339023497073418,111.07132,143.16566,106.54951190942127,-95.62222649997899,18.789576,19.07304,18.323652,0.74938774,0.0,0.9872968
1085824013680633984,113.05870467153717,59.58501052488281,10.35665769227362,34.589035,48.6287,48.293361756390375,-5.701013742509262,19.462488,20.050629,19.14441,0.9062195,0.0,0.9742092
1088067399654731008,115.42243088967945,62.437012699266624,11.167512058875449,23.587458,160.28299,-92.9962502889774,-130.5462928458981,19.967262,20.588015,19.268164,1.3198509,0.24017368,1.0301203
1098637172434762112,120.34436143337369,70.72641835837112,12.42707111292979,38.17137,357.1477,-237.37947964744586,-266.8435153568351,19.7903,20.401442,19.14515,1.2562923,0.11749729,1.0346111
1118460924702185088,131.50014258497893,69.74158755496005,21.882829858454976,201.07416,388.6828,-227.32972818262115,-315.27055497732545,18.06182,18.531067,17.433197,1.0978699,0.0,0.9684569
1124219372039102464,139.11290113705473,74.16212390299435,12.372146635284274,53.989853,113.98244,99.85103879577969,-54.97058595086306,19.310705,19.819084,18.689379,1.1297054,0.4776965,1.0135384
1143830501951118464,96.46845940079407,83.46279293768616,15.98203064744113,69.40727,64.62443,-22.318868386243757,60.648041441061324,18.911503,20.803804,17.400154,3.4036503,0.9865402,1.0616498
1147768304062974848,148.87484396223968,84.78152529503257,10.84729034779318,47.249928,115.31793,23.623710221152933,-112.87225068524528,19.451702,19.804659,19.056858,0.7478008,0.0,1.002248
1152639342435435904,172.9810670837879,89.19088717302127,12.196419512336856,57.88971,138.77821,43.31527483346392,-131.84528766374194,19.297234,19.809795,18.703236,1.1065598,0.0,1.0102478
1405848383457312512,250.99523332767282,44.64789817340004,13.532545522497774,65.332756,208.02844,42.00869021363024,-203.74273271435618,19.166782,19.689697,18.562613,1.1270847,0.47511703,1.0479448
1503124243047563008,206.46672373706386,44.2264498321033,10.925123098930564,28.060535,304.6856,-273.64199335602007,133.99019905455592,19.993704,20.568947,19.399214,1.169733,0.0,0.9513309
1505825635741455872,210.85141442192878,45.558796841435864,29.084471595454005,153.36877,285.15497,-272.3449456997821,-84.50792637397906,19.02192,19.063139,19.202726,-0.1395874,0.0,0.96404153
1549079220586992128,180.4774755823911,53.297107634134406,10.650607385831327,18.610357,41.024616,-37.548484902641064,-16.526656124582164,20.431473,20.46872,20.316133,0.15258598,0.9551442,1.0119795
1586649326754181376,224.41383399890174,45.28844665004023,42.803343735868964,375.11044,222.52405,-198.0499278414779,101.45530582504938,17.612373,20.849514,16.054276,4.7952385,0.9108427,1.181934
1602720342752926976,233.27795184790617,57.54229085765706,16.374346814261145,92.75856,37.420464,28.030674816088215,-24.790568824460983,18.93042,19.449093,18.254145,1.1949482,0.0,0.97144127
1604029444488823552,221.31956062632696,51.107419508429096,10.55132144677911,36.9921,184.35764,42.46902511729417,-179.39932527088948,19.625479,19.958565,19.173113,0.7854519,0.0,1.0204651
1609479792346820736,213.4789731004382,54.537891485454004,13.021200714472114,39.893036,68.57462,38.25811254695827,56.910423255283156,19.463594,20.16066,18.671686,1.4889736,0.0,0.96320647
1623213895168955520,242.3339958107939,58.80549081788032,23.197834213255476,170.46121,45.350742,-23.535101550439244,-38.76582120256228,18.395008,20.992067,16.868406,4.123661,0.859831,1.1379411
1631578537252535040,253.49992630712626,62.89925239327107,32.485170632628424,341.79633,566.1328,-545.7895558100139,150.39988079404935,18.059563,18.27118,17.823683,0.4474964,0.0,0.9696087
1651999178303252864,255.58353126941174,71.98123933743587,11.371301378053978,38.81819,313.29843,-290.0351417548299,118.47161683955946,19.8223,20.393143,19.065678,1.327465,0.0,1.0035683
1668928221397609984,218.93010398413932,65.06048499839093,14.279147734688102,81.93177,39.47871,-32.3401675256964,22.642487867440682,19.087152,19.573427,18.451353,1.1220741,0.3498346,1.0504994
1671824128866481792,210.94313607252937,66.63609698809839,11.098992015640993,51.327335,171.42911,-94.79466197918457,142.83525779766447,19.373505,19.914152,18.76389,1.1502628,0.63905495,1.0304388
1694227850809466112,226.63068596325837,69.22743840246706,14.711878840690387,85.6813,11.101289,-4.349556148920355,-10.213715004621394,18.81799,19.293236,18.342464,0.95077133,0.65539277,1.0751077
1699645724419193088,216.4296723354941,73.31452026936594,15.682000644647358,105.48991,210.64629,51.43588403295223,-204.269935340652,18.69477,19.1283,18.146793,0.98150635,0.0,1.0445197
1708066750833322624,228.69000867138269,77.41269641045554,10.83859342238428,23.407469,35.37236,-25.758265471914733,-24.24284791256175,20.281527,20.747612,19.552645,1.1949673,0.0,0.9917488
1728388195320169088,201.55029615138162,86.8677505640351,20.59536276971436,155.59026,326.06207,74.85591890015462,-317.35322057230405,18.733978,19.370352,17.987976,1.3823757,0.0,0.98702747
