source_id,ra,dec,parallax,parallax_over_error,pm,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,astrometric_excess_noise,ruwe,simbad_name,otype,nbref
2795626755934348544,7.229910281482474,18.64587561692453,7.138055674907532,94.483246,584.7812,552.3858459673994,-191.93471358025656,16.9994,18.145681,15.9307785,2.2149029,0.0,0.97325945,LP  405-19,PM*,7
318900982426755840,24.463548015666078,36.13642951856741,12.20926810919497,221.31335,583.24524,564.9134717588004,-145.07853488036335,16.395794,18.006496,15.174247,2.8322496,0.0,1.0242941,LP  243-37,PM*,9
2174326712570073472,325.00802858171687,54.13975566022994,34.077262035478334,2405.3801,582.5411,473.4486996143279,339.41191111517577,12.10534,13.269586,10.896795,2.3727903,0.12459617,1.1733286,Ross  200B,PM*,2
2404122654199741952,341.5500114710952,-17.030441828743378,24.63317917571367,853.0205,582.0703,566.2947078801022,-134.5962703988544,14.782014,16.438725,13.550768,2.8879566,0.0643151,1.0675668,LP  821-2,PM*,9
557011735935864576,87.53402092182577,81.51059308587669,20.00700954541986,420.45963,581.93176,327.9655174288537,-480.711117146754,16.32798,18.30133,15.016647,3.2846832,0.13051572,1.0094633,LSR J0550+8130,PM*,8
970366878924636928,90.51105167578577,50.21813765905475,9.521784994460296,353.93314,581.43506,263.07225576094964,-518.5168560825556,14.934683,15.899023,13.962985,1.936038,0.05085616,1.068378,G 192-14,PM*,9
2786053067672564736,21.227331600829583,18.49908625957949,31.83693478562564,1572.686,579.29724,547.1386598530089,-190.3274815501721,8.259104,8.703966,7.643951,1.0600152,0.07584231,0.9513494,Gaia DR3 2786050044015590784,PM*,1
3825820772648802688,146.5360707575591,-4.427614872539686,50.32885706762648,615.7171,576.97437,-551.3032429478611,170.18857623836556,13.93621,,,,0.49127868,1.0247736,G 161-74B,PM*,3
482685127857593088,76.42014817194129,66.56184550190574,11.35886666544784,183.5899,576.6597,244.8729653299271,-522.0858848797014,16.954338,18.369999,15.806535,2.5634642,0.0,0.9942165,LSR J0505+6633,PM*,5
2473839078745272192,12.845910545552,-9.504337696011737,8.238235370496975,48.02263,575.7058,-95.0868227906572,-567.798975186675,18.293001,19.948376,17.067537,2.8808384,0.5193969,1.1114081,PM J00513-0930,PM*,2
2399908226130235136,346.42873488691,-18.7202804781788,13.547068502586502,533.3465,575.0745,240.50023167990827,-522.3699539201672,14.716434,15.868736,13.653789,2.2149477,0.0,1.0133975,LP  821-7,PM*,8
5641177142279108480,131.46344540469974,-30.85924318062228,37.39909549600928,2362.9873,574.64496,-562.0172752113233,-119.80577253932287,13.845677,15.558925,12.597878,2.9610462,0.08550568,1.2141926,SCR J0845-3051,PM*,5
1699503788635584896,212.20236169128475,73.2732824022803,35.771404615194896,1957.3188,574.177,-444.7745270155357,-363.118200073297,13.936789,15.676954,12.680349,2.996605,0.10182649,1.1919633,LP   40-299,PM*,7
2638442429053398016,347.6606027361352,-1.9935826004042188,23.20961616152133,1090.3245,573.37683,346.2118775159482,-457.0539515826071,14.458698,16.069462,13.236371,2.8330908,0.0,1.0570863,LP  642-15,PM*,7
1099288637370627072,104.49025985938316,62.31958026409372,87.24166697188599,653.04956,573.1035,320.6363487935513,-475.0157378975831,13.639243,,,,0.8983104,1.3396655,G 250-31A,PM*,5
2596217402975331456,337.4075005055606,-15.178272930313955,13.227370528580815,171.95485,572.625,560.9969385070639,-114.81218900912872,16.480799,18.42038,15.1650305,3.2553492,0.26436308,1.1628107,LP  820-3,PM*,9
2614285089144466176,331.69139696188086,-10.147533145790776,14.061365584974556,229.0474,571.2803,467.81955101847774,-327.88114247690504,16.240765,17.793247,15.032507,2.7607403,0.0,1.0137184,LP  759-31,PM*,8
5606460887267152256,110.04063091153648,-29.40306525423619,6.939934570578807,76.350945,571.0009,109.3877674795943,-560.4251451497125,17.72944,19.041803,16.62521,2.4165936,0.16888596,1.039087,2MASS J07200961-2924014,PM*,0
2444020185960297856,4.894538375606321,-4.535765739638226,8.3662713902998,60.697815,570.45056,141.30264007848857,-552.6729910035231,16.850805,18.563635,15.530198,3.0334368,0.7464586,1.6947296,LP  645-2,PM*,7
2361748025821126272,6.162933584402164,-20.90535322004073,24.6124196288548,297.06036,569.50354,-267.73405506801856,-502.6457901199617,16.449242,18.863895,15.053134,3.8107615,0.3576512,1.090052,Gaia DR3 2361794961223736576,PM*,1
130204308697292800,42.64644553099573,30.99096867336623,21.680542871487585,1029.1575,569.31067,548.0451822390557,154.1463670027034,13.884794,15.389004,12.690131,2.6988726,0.09544687,1.3149644,2MASS J02503437+3059246,PM*,5
2360955930772711936,6.830765417072116,-21.359791235574164,8.894908135026908,167.38106,568.65564,500.5484838610984,-269.85259600476184,16.047579,17.08338,15.047496,2.035884,0.20132573,1.0777359,LP  825-211,PM*,5
2378247533531439744,348.50006123671693,-28.445934065680312,27.79601583349408,350.28018,568.1824,408.9565046706507,-394.4436711804292,16.331985,18.794193,14.9324,3.8617935,0.47551364,0.79636365,SIPS J2313-2826,PM*,3
5641259227692590336,131.79058934202376,-30.77262545387938,36.77035004724605,2488.4177,566.45374,31.30061288623537,-565.5882916765892,13.162989,14.642492,11.973988,2.6685047,0.08011416,1.28984,SCR J0847-3046,PM*,5
1042526761903800064,129.74500392498646,62.67619818526812,7.405326982689725,363.42337,566.35864,-267.36571755670155,-499.2771857742646,14.388221,15.219683,13.4941635,1.7255192,0.0,1.0489267,G 234-42,PM*,7
2174326751236583168,325.0085986680328,54.13982224516299,33.92322316035814,539.6979,565.2232,465.5241630657112,320.5690197691444,14.104265,,,,0.46731445,1.1205516,Ross  200B,PM*,2
6544145019268698496,340.11226255663206,-42.89094689940474,28.617308673831477,176.31424,564.5944,-34.21791315325895,-563.5565464809918,17.962654,20.85781,16.43381,4.424,0.8316037,0.9047682,SSSPM J2240-4253,PM*,6
158056136523857280,70.29827109556601,28.89351428594084,8.710259271154179,30.471397,564.4544,482.5151317481853,-292.8958044035404,18.698595,20.46892,17.391083,3.077837,0.5831999,1.0126965,2MASS J04411095+2853416,PM*,1
5031103872829759616,15.344833433977252,-31.0808684842619,8.9515599133942,121.576706,563.33826,555.4127904728751,-94.16279590578472,16.702368,17.949276,15.609833,2.3394432,0.11804446,1.0154856,LP  882-215,PM*,8
3138675277156978048,115.5517396616424,5.884789752930095,5.4795609341212765,83.07147,561.75146,303.2242097183993,-472.8845484834187,16.853525,17.796892,15.906138,1.8907537,0.062116366,1.0189976,LP  543-21,PM*,6
2820115078909107200,355.274849879457,16.769113491320944,8.60753410740921,106.52506,560.2607,471.2475711883884,-303.0144373037738,15.850139,17.375122,14.649775,2.7253475,0.49670208,1.7997829,LP  463-35,PM*,9
2373506443686573056,8.543336454220114,-16.162291419709486,7.472252683178649,93.8616,559.98505,-265.4223634401402,-493.0864135411453,17.070824,18.268637,15.979995,2.288642,0.0,0.952251,LP  765-37,PM*,6
6535003404716107392,352.93940101951057,-42.67153793950983,33.267051997173375,1018.756,559.0089,-341.65262642288843,-442.4527632612232,14.809064,16.769777,13.50189,3.267887,0.17771883,1.2208203,LP 1035-26,PM*,9
1001337544499028480,98.38777592487494,57.87543199469713,9.899049586010827,446.64825,558.5953,127.37107576411732,-543.8798191564865,14.138704,15.259913,13.080475,2.1794386,0.0,1.0655452,G 192-30,PM*,9
5643962205235839104,127.2915820260628,-29.863150534548534,22.65664340830854,1681.833,557.73737,204.74629868607096,-518.7965955977156,13.661011,14.965552,12.531178,2.4343739,0.036833808,1.1297045,SCR J0829-2951,PM*,4
3583777237848460544,184.67329779752117,-7.950114022242086,22.680790347395096,848.0662,557.0754,-521.6999076661688,195.3514064490765,14.549348,16.157757,13.3281555,2.8296013,0.091247566,1.1593324,LP  674-34,PM*,7
2672863430834908288,323.68436467143925,-2.695140340379889,13.17270561932373,105.24787,555.79144,-256.40280646149614,-493.11429996314826,15.774397,17.190622,14.557065,2.6335573,0.97544456,3.6341746,LP  698-11,PM*,7
6599190694522180736,332.8060922180309,-36.10998398287786,8.564803532390657,280.5115,555.6406,-192.4947992004554,-521.2314740817818,15.027904,15.952632,14.079856,1.872776,0.0,0.9611658,LP  983-113,PM*,6
479987338637532160,79.75599949391233,64.73111368240173,6.70005971066148,56.507313,555.6122,369.1888125617496,-415.2162256238804,18.012213,19.263788,16.930696,2.3330917,0.0,1.0064465,LSR J0519+6443,PM*,5
572029621662803712,27.13840136643578,81.74011709202281,19.239661706201822,279.44058,554.7463,514.3271588576085,-207.87256884494897,16.667622,18.800776,15.320856,3.4799194,0.5011412,1.1045549,LP   13-269,PM*,9
2655578214692806016,345.289946338284,1.9043422566821704,7.101254650624658,159.51381,554.05774,59.940163450120366,-550.805902587254,14.714353,15.509348,13.8376,1.6717482,0.0,0.9612626,LP  641-58,PM*,6
