source_id,ra,dec,parallax,parallax_error,pm,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,g_rp,ruwe,l,b
4790837561134237312,67.58535830886353,-45.28224116110568,3.359409842097932,0.5677259,231.37541,66.30313575583861,-221.6719927206261,20.515047,21.496344,19.286999,2.2093449,1.2280483,1.0931228,250.82865599487343,-43.28614518597749
2471298382250296320,20.59138930247622,-9.062775140450505,6.095869166429017,0.8547486,233.84229,232.4162977841404,25.785184001433585,20.510948,22.041138,18.984512,3.0566254,1.5264359,1.1310066,146.4006890750183,-70.51217183524254
3979080427133597184,175.28064704916213,20.3282996773152,7.818545806209439,1.1105931,245.7981,-7.213749279763287,-245.69222240798803,20.509361,21.700508,18.996346,2.7041626,1.5130157,1.0705016,232.09812011046927,72.55280993810942
759888428875227264,173.63314219019745,36.389109504820425,6.014054496039089,0.84975,225.15141,-213.27417557790716,-72.16150487474707,20.502634,20.74374,19.584532,1.1592083,0.91810226,1.0962255,178.5477377490306,71.26355722970443
6815573861313175168,321.8182545241766,-24.094256838950187,7.596586748262156,1.0708153,219.58195,194.12007022850432,-102.63348125688098,20.502207,21.65034,19.024567,2.6257725,1.4776402,1.0629624,24.78640122095516,-44.18568642654895
1236052147104480640,218.1866966641968,18.30123806061446,5.009003550891201,0.9127409,235.91852,-104.75266269645768,-211.3869070151981,20.499855,21.608362,19.088789,2.5195732,1.411066,1.0750268,17.53623212541868,65.0854456752032
1567438354646899712,193.2493882410207,49.61835284722604,4.542777583934526,0.6480481,232.1223,-209.90886143967103,-99.0910416086902,20.49543,21.324883,19.11235,2.212532,1.3830795,1.0355622,122.27158333735731,67.50789743016566
752088188444504704,160.06667198863855,38.261763567873366,6.836223070840272,0.926865,213.78659,-117.78123697992496,-178.41605797018397,20.491514,21.37976,18.92939,2.4503708,1.5621243,1.1001188,182.4663112421804,60.43701074276458
6510198937789096448,336.797347867904,-52.489991097920665,5.428552904383264,0.62769324,220.16624,43.31487437321925,-215.86336819146155,20.485395,21.357218,19.083263,2.2739544,1.402132,1.0512888,339.5945159844223,-53.10905310825841
5076508995771629184,42.98011643573239,-24.52279176192049,4.692332633419298,0.75452477,240.91579,215.3748799981124,-107.95406113084442,20.480942,21.275948,19.128174,2.1477737,1.352768,1.209816,214.25679834481045,-62.82703949185819
