source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag
209463051063068288,85.17164556466159,45.70743960380178,4.87320397825562,1.7848768379902575,-23.430779155764192,6.183373,8.125519
210372622056993280,87.72588022961615,48.345447114096054,5.477669177223783,-20.402029049045154,-21.249991562473753,5.357983,10.895495
210506998697469568,88.99476189107384,49.18616133087351,3.1972406312042034,8.310541866739786,-14.096960491534885,10.5097,12.072324
211608988523397120,88.75077781128412,50.36910338469867,4.2613709355394205,5.583230224134264,-20.608772709445695,9.434319,14.9283285
211661524562204544,89.61346325064012,50.94634792864865,1.036996177824927,-6.354680469578147,-8.66591822727683,6.624271,13.652947
212322949526394752,80.85726595124,47.34302770662902,4.2463289211789155,14.156222428180193,-54.09192710139659,12.348832,14.340622
213693662569223296,80.86935716379335,49.59728350990985,5.512360670316337,-8.20146875883699,-37.40825417355438,20.1732,13.176782
213858726752445952,81.80013057076651,50.38798739457111,4.385853871204019,-6.526298508591825,-15.888656308329066,7.7866387,14.990821
214416969420695680,85.19053896550035,50.28312441270199,6.269473083143296,18.3185031258541,-9.494302015215823,26.08415,10.72494
214905152583083520,88.05726137041523,51.913556770860865,5.927347520291828,11.68462952417087,-20.584873047514225,6.8712063,14.195191
214995617479197312,88.29937518382154,51.94525434801272,3.132254741552802,40.87061028403638,-43.07749908872708,5.981815,14.989189
215521394490842624,86.37514010260854,52.160355465829376,21.37247482297267,82.78924228807882,-181.51692240277458,8.372685,6.697135
215672641762965760,87.86870990019837,52.11858997535597,6.793847871577798,35.49170081922174,-101.91610719342236,12.465884,13.991863
224864284093260160,56.99250965017916,40.33362135153676,3.1098333223031256,-12.840647561441605,3.1721123964243185,16.859457,10.673838
230921704107317632,57.639939427840815,41.23637858182898,3.2194827341851315,-13.375844149580653,3.5152819617518887,15.011629,11.546648
231091196397621632,56.97239934694464,41.075424884027356,4.822643624955646,25.867655647695415,-24.04754909946158,13.96127,12.236966
231845603114162176,60.30589895471916,44.25937663509171,3.112672945801744,24.25874822276497,-68.48650785599835,12.386522,14.70503
231887930010916096,59.13452272144061,44.21759077180838,6.040740294308167,5.614880769648085,-61.002396724395155,11.5827465,11.799708
233382445492650752,60.95030294540908,44.73636584613493,1.2832657101121008,10.347050541620193,-9.026256707226226,8.202283,9.6265545
233481332818874880,60.97478739518825,45.61927491550818,4.24537948187554,-15.922777588356805,20.098669911635234,5.028763,14.225604
233812835574768512,65.10353552965739,46.59501418884988,2.6814101475365466,1.6656194222948333,20.72930145456273,8.540012,14.016881
234035005643320704,62.719043733798785,47.00080907743371,1.625027908127423,11.348770811542282,-15.395465690421661,5.880013,14.873621
235840296355671936,48.85947625693706,39.75674019745331,1.3335955169497187,5.875160970478844,-9.088964205319026,5.0326915,11.951665
236779111785323264,52.752709040307465,40.24311475082071,5.082953845103572,9.833741599116616,-32.375242820344084,19.264036,13.196372
236899508311132800,53.89465916696219,40.831893391083774,4.363304990287985,39.77497406712605,-66.55896238306846,13.839309,14.826188
237162944424753536,55.44896349833388,41.38675633281637,1.733206968369554,7.91254355849751,-10.055156482739497,5.8969507,13.162271
237241211608981376,55.241362675107624,41.937385858878805,2.8831981550094743,18.793427247426337,-20.628006007378858,16.541792,12.4776125
237419130633156096,54.28964121548703,42.43317225107095,7.5534929274689215,29.56615162864885,-32.525416759478865,5.8104935,14.276242
238135050143446912,53.514616367845626,42.09419791711346,1.6886720033447729,-6.015583938358592,-10.42755144874177,9.943424,11.838047
239581698204302848,49.12945002626553,41.760222568298445,3.23664389393435,-18.45268092539128,31.073573760237593,11.271283,12.437637
239906191573201920,45.84955479555825,40.936011268950125,7.329044522219988,9.519290709603158,11.963613765708981,6.666075,10.876257
241479936313162496,51.19827082030604,44.50690478590487,2.3833044201514024,23.63253766493644,-9.578257712556988,5.6715026,13.879027
241645928208925696,52.49605122188437,44.944147457537,2.3094375183554585,15.318901601954984,0.5362096802715137,6.560732,12.716847
241888404882494208,51.33453446054357,45.15539705854544,5.419231544726813,16.92739057315645,-54.5973541362394,6.293774,11.521074
242369853535522432,48.625784562078714,44.53753540282081,4.3060011591667235,6.625711058514613,-8.595225192200886,7.8033175,14.972609
243349411017617664,57.28101502656268,42.979162526396664,2.6858118640579143,11.143673683022055,-10.644839409105064,7.5077157,12.279425
243415832691367552,57.10254747188093,43.33703015736298,3.563786158540039,-24.373524395373547,-50.967013193288054,6.6250086,13.522388
243729502743159936,56.93638564515419,44.49854850337388,1.826847619250607,-12.103059860273923,2.4767072286206018,5.007656,14.008455
243932190840761344,59.18049215473332,44.87827963017984,4.565514497834614,-11.19744556777167,1.0570102286768004,13.717876,10.963662
244221946515120128,59.11591559727363,45.662543619613395,3.9416907168310367,58.372331074014944,-23.188373141238966,8.778878,12.549438
244268778838194816,58.10695281275665,45.68282667829801,3.7144538598413677,5.601125829676571,-12.918012255549396,5.647209,12.536036
245936669260007168,61.27437658710325,47.595694201277865,3.221315597900763,4.788190982996983,-14.932915585306572,7.064731,13.769941
246110628312286720,61.88320364773636,47.50197643720882,1.4014336121306779,12.366250890795659,-5.768370492575879,8.05023,13.126724
246298232483750656,61.73981478092372,47.67237887762647,1.347256114885732,-3.6736004387025036,-10.584810686527675,6.653375,12.373936
246444639329511552,62.91474494980635,48.47325206939928,1.7494713131091344,13.019731791600174,-10.5641092718031,9.7829485,12.428501
247337550152783744,62.94414760278554,49.74414703330094,14.257283682952403,24.119369873741775,-272.2289380053193,8.712592,9.052305
247726845984561536,54.169133021089145,45.51979435701184,6.941007452634708,7.563196518222993,-15.243646282775702,28.754059,13.766845
247863838258575616,54.8530786985749,46.283759931840784,7.35932690659648,-40.728832699623126,7.8044450955360425,7.9708977,12.119853
247893765594015744,55.34775998821477,46.50192554761998,2.8054153518690788,2.9109139533710824,-14.695544197998128,7.4424086,10.694763
247943381055721472,54.72970510699094,46.873487582431345,2.498353437975826,-9.324257765693144,-26.77408335133152,7.2880034,9.713591
248473208222792832,56.51450193399742,47.82570999873286,1.093265319605848,7.4077149657357495,-7.279070669376365,5.112192,13.981915
248494270743649792,56.367780258080465,48.10989511877122,1.7292855815188257,3.5823827467758216,-11.299596932632054,6.249696,11.773475
248787634187773952,56.08436187099543,49.193291338923245,14.92445441117831,60.027999007362816,-89.65424137859745,8.878489,14.744964
249679849217821568,54.435039516301536,49.27254379669244,1.702026701449603,7.270913360414587,-7.960697914561081,5.5876575,11.80211
249821965392812800,55.38760133848904,50.12548459248606,4.589109478461522,28.8610972028503,0.707422195273979,10.596238,13.458237
249990774786724864,58.27208997688383,48.71805679764497,1.0788622833343868,-0.06519169437341965,-13.740707077148793,7.615195,14.032581
251346403903455360,57.92775551080967,51.70065108336334,4.582775649362407,21.17494388972156,-8.854179531408587,16.280418,10.710027
251653236368686592,59.01644670830234,51.64111727224933,7.274548762103901,22.847141886085332,-38.65015412502838,6.8395205,11.289179
