source_id,ra,dec,parallax,parallax_over_error,pm,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,astrometric_excess_noise,ruwe,simbad_name,otype,nbref,W1,W2,WISEA,J,H,K,2MASS,G_W2,W1_W2,J_K,G_J
4983570061015756928,18.43846511975345,-43.425301500581256,12.613104911001612,248.4779,804.65924,-23.21093035007172,-804.3244057222638,16.144735,17.327494,15.066354,2.2611399,0.30657315,1.2781606,LP  990-102,PM*,7,17.36199951171875,16.45400047302246,WISEA,13.673999786376953,13.17300033569336,12.92199993133545,01134526-4325178,-0.3092654730224602,0.9079990386962891,0.7519998550415039,2.4707352136230476
2355093506571972096,20.34202949516254,-17.840018825362613,10.272044593573002,210.04701,802.63684,4.959112267575335,-802.6215475487306,15.768468,17.042759,14.650582,2.3921766,0.16962232,1.2113178,LP  767-37,PM*,7,17.844999313354492,17.160999298095703,WISEA,13.220999717712402,12.704999923706055,12.472999572753906,01212207-1750101,-1.3925312980957028,0.6840000152587891,0.7480001449584961,2.547468282287598
6553304122924596992,347.3929662408889,-36.9694404149594,8.916145742533041,535.606,787.1693,-437.85314755480135,-654.1560499604843,13.869031,14.715383,12.966148,1.7492342,0.024677757,1.1354347,LP  985-100,PM*,6,16.56800079345703,16.933000564575195,WISEA,15.454000473022461,15.04800033569336,15.03600025177002,23093461-3657514,-3.0639695645751956,-0.36499977111816406,0.4180002212524414,-1.5849694730224613
4986698652632835968,11.484726916348889,-42.79719975674512,10.844145040679832,516.8765,778.35876,659.6808739897813,-413.1144595564332,14.611576,15.734382,13.558524,2.1758575,0.0,1.0230929,LP  989-155,PM*,8,18.450000762939453,17.86199951171875,WISEA,12.229000091552734,11.704000473022461,11.463000297546387,00455536-4247431,-3.2504235117187505,0.5880012512207031,0.7659997940063477,2.382575908447265
6783677544390496896,319.0804457702243,-33.06482500912259,32.83171485884223,619.764,777.05133,704.17841029383,-328.54452645525464,15.723148,17.938004,14.36486,3.573144,0.24135499,1.1026022,PM J21163-3303,PM*,5,17.618999481201172,17.263999938964844,WISEA,12.390999794006348,11.855999946594238,11.581999778747559,21161838-3303479,-1.5408519389648436,0.3549995422363281,0.8090000152587891,3.3321482059936525
3093687315794818560,127.19868539265715,6.394310587328674,9.395633975371274,109.67155,774.1144,124.16586650632608,-764.0915652597424,17.195837,18.531307,16.056095,2.475212,0.051663216,1.0139331,LP  545-22,PM*,9,17.511999130249023,18.113000869750977,WISEA,14.532999992370605,14.02299976348877,13.878000259399414,08284754+0623515,-0.9171638697509756,-0.6010017395019531,0.6549997329711914,2.6628370076293955
6338296685697914368,222.4759670550357,-4.269194736981598,12.67028083647966,631.508,771.61615,-278.59114932591723,-719.5682461933924,13.654486,14.408121,12.812343,1.5957785,0.03690963,1.0914224,G 124-76,PM*,8,17.108999252319336,17.43400001525879,WISEA,11.770000457763672,11.222999572753906,11.064000129699707,14495454-0415569,-3.7795140152587887,-0.3250007629394531,0.7060003280639648,1.8844855422363285
2375636232069329792,8.208787045902525,-12.343866773402192,9.921174470794869,156.1126,770.8379,641.433524395437,-427.497476170013,16.275225,17.41037,15.224412,2.185958,0.077823244,0.96004856,LP  705-56,PM*,6,18.04599952697754,17.80299949645996,WISEA,13.916000366210938,13.35099983215332,13.260000228881836,00324937-1220308,-1.527774496459962,0.24300003051757812,0.6560001373291016,2.3592246337890614
2371073911649103872,11.594924468760322,-14.857584188602608,9.51132771695097,208.20372,766.17084,-231.8411080450344,-730.2516218925707,16.038746,17.066376,15.032133,2.0342426,0.0,1.013674,LP  766-15,PM*,8,17.475000381469727,17.9950008392334,WISEA,13.746999740600586,13.199999809265137,13.062000274658203,00462305-1451144,-1.9562548392333987,-0.5200004577636719,0.6849994659423828,2.291746259399414
276219659029030272,60.05741697023883,54.28906207584434,5.769509535480577,129.18239,760.01013,518.5929137894586,-555.5868880725437,16.262812,17.20014,15.308874,1.8912659,0.0,0.98089236,LSR J0400+5417,PM*,6,17.28700065612793,17.150999069213867,WISEA,14.092000007629395,13.585000038146973,13.322999954223633,04001276+5417300,-0.8881870692138669,0.1360015869140625,0.7690000534057617,2.1708119923706057
3037127544313394560,118.35988682231437,-11.703362123503265,12.202992334280715,306.28943,759.64417,213.09778584341808,-729.1423900446238,15.630631,16.73145,14.584076,2.1473732,0.0,1.0248041,PM J07534-1142,PM*,3,15.826000213623047,16.11199951171875,WISEA,15.482000350952148,15.079000473022461,14.914999961853027,07532807-1142180,-0.4813685117187507,-0.2859992980957031,0.5670003890991211,0.14863064904785084
727531798829508608,158.33750038967807,25.98650545565828,36.55905406324395,1087.771,755.165,487.73199023789465,-576.53413281012,15.104091,17.251387,13.757664,3.493723,0.16092235,1.0358831,LSR J1033+2559,PM*,8,18.04400062561035,17.410999298095703,WISEA,16.959999084472656,16.474000930786133,15.916999816894531,10332257+2559159,-2.3069082980957027,0.6330013275146484,1.042999267578125,-1.8559080844726559
1722694722247854592,243.5486922061812,82.19514369927991,36.00787255670546,285.16937,752.52625,-474.279574609113,584.255630278066,18.157394,21.141191,16.60017,4.5410213,0.94187343,1.0421177,2MASS J16141557+8211327,PM*,3,18.801000595092773,18.2189998626709,WISEA,16.371000289916992,15.73900032043457,15.039999961853027,16142201+8211348,-0.061605862670898404,0.582000732421875,1.3310003280639648,1.7863937100830078
521995692206323584,33.22486121576885,70.20908860248257,26.84809718388853,925.95624,747.5904,726.4576066105769,176.49566128286767,15.458896,17.371473,14.163976,3.2074976,0.14061606,1.0883263,LSR J0212+7012,PM*,9,16.7549991607666,16.70599937438965,WISEA,12.317000389099121,11.843000411987305,11.543000221252441,02125178+7012300,-1.2471033743896491,0.048999786376953125,0.7740001678466797,3.141895610900878
3593740737340207488,174.57980932521622,-5.792552229457451,13.047321139640674,52.00545,742.6041,-701.7715951911582,-242.8528282338133,18.564344,21.068003,17.11468,3.9533234,0.7042683,1.0227482,2MASS J11381994-0547288,PM*,5,18.371000289916992,17.530000686645508,WISEA,14.843000411987305,14.36299991607666,13.965999603271484,11381994-0547288,1.0343433133544906,0.8409996032714844,0.8770008087158203,3.7213435880126937
3756110017461220992,163.25198719426768,-13.748710135812305,28.65541668683412,825.44336,741.6517,657.4842799229986,-343.1641905096541,14.166843,15.712399,12.936422,2.7759762,0.17915633,1.5204844,LP  731-15,PM*,7,17.099000930786133,16.042999267578125,WISEA,10.763999938964844,10.293000221252441,9.734999656677246,10525961-1344496,-1.876156267578125,1.0560016632080078,1.0290002822875977,3.4028430610351563
3756110013166009728,163.2513723684953,-13.748927780447518,28.94147479520426,734.57745,740.4127,659.1925136673228,-337.15901560840365,14.156105,15.701739,12.908812,2.7929277,0.22599956,1.9781308,LP  731-15,PM*,7,17.099000930786133,16.042999267578125,WISEA,16.31999969482422,15.645000457763672,15.442000389099121,10525846-1345018,-1.8868942675781248,1.0560016632080078,0.8779993057250977,-2.1638946948242186
2388810099356784384,354.8321990025665,-20.95024620998666,8.101499496024422,119.37708,733.3397,671.6920293345578,-294.3075777599976,16.657442,17.593523,15.712607,1.8809156,0.0,0.9869831,LP  878-7,PM*,7,15.607999801635742,15.633999824523926,WISEA,16.43899917602539,15.821000099182129,15.253000259399414,23392092-2057244,1.0234421754760739,-0.026000022888183594,1.1859989166259766,0.218442823974609
4999924471844242048,11.708336205821304,-38.68082460359833,9.65454094153112,510.90652,732.02527,-169.92329965604534,-712.0302509589706,14.371873,15.237435,13.457064,1.7803717,0.0,1.0250449,LP  989-161,PM*,6,18.52899932861328,18.496999740600586,WISEA,12.336000442504883,11.861000061035156,11.600000381469727,00465023-3840393,-4.125126740600585,0.03199958801269531,0.7360000610351562,2.035872557495118
2479640651848323712,24.360924984469587,-5.732852885326588,8.889568731402976,151.22557,728.52124,607.6829773443168,-401.8265808111779,16.584797,17.678879,15.540042,2.1388369,0.0,1.0171673,WT 1213,PM*,3,16.54800033569336,16.513999938964844,WISEA,14.236000061035156,13.711999893188477,13.539999961853027,01372592-0543512,0.07079706103515448,0.034000396728515625,0.6960000991821289,2.348796938964842
6835152967948730880,320.7774794294156,-16.860987326502517,22.59751932102804,1219.026,727.51733,-229.0015509997027,-690.5358519366085,13.941712,15.359861,12.773999,2.5858622,0.0,1.0818182,LP  817-30,PM*,9,14.496999740600586,14.63700008392334,WISEA,15.17300033569336,14.555999755859375,14.390999794006348,21230685-1651562,-0.6952880839233391,-0.1400003433227539,0.7820005416870117,-1.2312883356933586
5103203969863246208,49.6164610809593,-19.99224387824048,34.34818206482861,1516.7463,725.6531,587.9094398190826,-425.3643543241628,14.5074,16.204874,13.259662,2.9452124,0.0644875,1.0984923,LP  772-33,PM*,7,15.984999656677246,15.378000259399414,WISEA,17.038999557495117,15.029999732971191,15.055000305175781,03182779-1959337,-0.8706002593994135,0.606999397277832,1.983999252319336,-2.5315995574951167
2085051835892040832,304.6744455803816,50.22336592429723,22.785308560994427,1823.2767,723.3396,-722.8523540448836,26.546083688557715,14.019702,15.124522,12.979871,2.1446514,0.0,1.0014542,2MASS J20184303+5013236,PM*,6,16.878999710083008,17.40999984741211,WISEA,15.027999877929688,14.392999649047852,14.354999542236328,20184219+5013095,-3.390297847412109,-0.5310001373291016,0.6730003356933594,-1.008297877929687
2412679706523802112,350.30933474624743,-11.624408406872606,31.18002615499496,898.9131,722.0887,686.1409120264678,-224.994963684501,15.368273,17.252682,14.08556,3.167122,0.07354309,1.0226079,LP  762-8,PM*,8,11.449999809265137,11.199999809265137,WISEA,12.295999526977539,11.76099967956543,11.51200008392334,23211343-1137239,4.168273190734864,0.25,0.7839994430541992,3.0722734730224612
3250489115708824192,55.08968282529162,-3.218224247356161,38.462420523847776,821.3365,721.32935,687.0370967971802,-219.76364822457344,15.565228,17.84236,14.18999,3.6523695,0.2827895,1.1832312,HD  22879B,PM*,4,5.453999996185303,6.484000205993652,WISEA,14.12600040435791,15.781999588012695,14.031999588012695,03402271-0313149,9.081227794006347,-1.0300002098083496,0.09400081634521484,1.4392275956420892
5068524995165870720,35.838452659457566,-29.16162469797248,12.521321669405944,585.5482,717.7709,677.4987682935059,-237.04517964053167,14.257505,15.340022,13.219993,2.1200294,0.0,1.0530436,LP  885-54,PM*,9,15.57800006866455,15.621999740600586,WISEA,11.951000213623047,11.420000076293945,11.192999839782715,02232034-2909377,-1.3644947406005858,-0.043999671936035156,0.758000373840332,2.306504786376953
835195736903689216,157.7353272652172,49.74495822882005,8.529435271054593,281.7934,717.56757,-575.8410823278248,-428.1474778105848,15.360307,16.288254,14.406792,1.8814621,0.0,0.9793859,G 196-29,PM*,9,17.218000411987305,16.940000534057617,WISEA,13.217000007629395,12.722000122070312,12.527000427246094,10305749+4944491,-1.5796935340576166,0.2779998779296875,0.6899995803833008,2.143306992370606
4127813392278943360,256.476422846842,-20.51605836321443,9.968352014114512,224.00502,707.111,-543.503796870296,-452.3379828341538,15.421521,16.274303,14.521672,1.7526312,0.07194162,1.0298494,PM J17059-2030,PM*,3,14.958000183105469,14.982999801635742,WISEA,16.68600082397461,15.956999778747559,15.734999656677246,17055232-2031030,0.43852119836425807,-0.024999618530273438,0.9510011672973633,-1.2644798239746091
1285435333566659200,217.16452773139883,31.287183865280547,7.114620628323084,174.60727,704.7425,-64.05025517355023,-701.8258815672632,16.02224,17.017984,15.032863,1.9851217,0.0,0.98626673,LP  325-38,PM*,9,16.617000579833984,16.72100067138672,WISEA,13.805999755859375,13.319000244140625,13.069999694824219,14283956+3117247,-0.6987606713867187,-0.10400009155273438,0.7360000610351562,2.216240244140625
5089072531027887232,61.83660838935507,-24.490010370294005,54.32403871356248,928.5949,704.14526,219.00429529184527,-669.2216593686452,12.054182,12.925132,10.064442,2.86069,0.53084236,1.5905108,LP  833-42 A,PM*,5,,,,8.23900032043457,7.677999973297119,7.440999984741211,04072048-2429129,,,0.7980003356933594,3.8151816795654305
5021082752054529536,30.973918852207824,-28.932429206551863,8.563531049080723,396.4001,702.33374,573.2320334319359,-405.8050760764187,14.530474,15.33997,13.649961,1.6900082,0.039308228,1.0616901,G 274-143,PM*,6,18.56599998474121,17.305999755859375,WISEA,12.562000274658203,12.006999969482422,11.86299991607666,02035299-2855498,-2.775525755859375,1.260000228881836,0.699000358581543,1.9684737253417968
2759428629829608064,357.6535976770348,9.949318872191798,50.14831538141223,1555.1163,700.5929,652.9595417502628,253.9177315922612,10.597985,11.790701,9.320761,2.4699402,0.21967284,1.5668577,G  29-73A,PM*,3,,,,7.671999931335449,7.0980000495910645,6.807000160217285,23503619+0956537,,,0.8649997711181641,2.9259850686645503
