source_id,ra,dec,parallax,parallax_over_error,pm,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,astrometric_excess_noise,ruwe
231421569581779328,59.789784206116984,42.607280208624765,6.285865122917264,175.69841,507.52213,225.40785870195205,-454.71969561994666,15.369648,16.300045,14.418868,1.881177,0.0,0.9926406
338294821353428096,36.06421849961308,41.22887881683672,8.595585553284069,105.83595,558.7074,534.569119319278,-162.44940870801173,12.648495,13.196483,11.885682,1.3108006,0.56510496,5.3330407
458018340407727104,37.87447894404984,57.37870558540406,50.00541479563848,2089.83,1115.7747,1115.7192342216508,11.126863327716851,12.018761,13.508623,10.820139,2.6884842,0.20194183,1.4975666
461111266613217792,45.3559332575372,58.10888920402259,30.94022568819138,1810.0345,554.84015,101.33557080425507,-545.5077695328129,12.342058,13.575147,11.236989,2.3381577,0.10673577,1.154871
473563132719635712,60.87772287096653,60.15235870010539,37.213707631414145,2047.0398,520.4298,407.0282995064363,-324.3072142544671,11.871144,13.1499405,10.74854,2.4014006,0.14732936,1.2501998
496663940735093632,68.32482045950607,68.77937403254397,51.735387159937375,2188.998,558.8468,182.509752292839,-528.2044562639875,14.264072,16.345648,12.932747,3.412901,0.15248618,1.0955731
786792932954872064,176.83624837233924,47.76478321140067,21.84048064863979,1698.9895,606.9004,-571.8353422432951,-203.30374358599303,13.16473,14.442766,12.044994,2.3977718,0.02732382,1.0864528
830239138487431808,157.84731232129542,45.52340641448857,62.52016704002569,3002.4072,821.18176,-566.2165955824817,-594.7589727468139,8.291128,9.077447,7.4273505,1.6500964,0.1147194,0.9621849
930068265936597632,125.45628620401955,45.53161239678007,36.61748656982759,243.67233,584.78253,-358.1701368199713,-462.2604545109948,17.837559,21.241705,16.285383,4.9563217,0.69570225,0.84890115
1017131170037877248,133.10142750770598,51.65626858918292,21.25717515037347,102.95267,546.68335,-28.531192574414575,-545.9383149936166,17.956179,20.783636,16.455708,4.3279285,0.875721,0.99018097
1033138131281096704,123.20054155782549,55.44224204748765,25.44170900241612,689.95795,503.13947,-398.5830115415754,-307.05194211024116,15.501945,17.572878,14.16606,3.4068174,0.15051125,1.04997
1050402662475992320,150.60360384331315,61.14806895567207,23.719951740492437,189.98804,556.7481,-453.10776903838786,-323.5147160289065,18.463394,19.108463,17.720917,1.3875465,0.0,0.98713195
1064978578888570496,145.374121043978,65.19209698102347,21.74921334879379,164.10791,1177.1781,869.3213522030328,-793.7435187767327,18.43831,19.071733,17.705397,1.3663368,0.0,0.9772044
1080623048803799040,173.09936288962862,76.65233185626438,10.191624002889299,652.4984,614.0773,115.18605496783437,-603.1774490604092,11.324257,11.701569,10.7659,0.93566895,0.1378013,1.0146627
1123700235048742016,136.38201415229835,73.2464953907005,38.95967566493263,701.03436,581.05695,-337.9130689237262,-472.69645935044554,16.751043,17.191505,16.147402,1.0441036,0.0,1.005501
1129078083858403584,171.35858397563587,78.26470271188857,44.32113449853239,2692.3901,672.1333,-640.8515920757264,-202.6632091855638,11.207036,12.391493,10.121554,2.2699385,0.13352485,0.98925555
1138963758544545280,123.42723031947163,79.30137045178125,66.71536126267922,3965.289,537.98676,-350.8644781813407,-407.8282203385623,13.193779,15.087528,11.898415,3.1891136,0.1346767,1.3124559
