source_id,ra,dec,parallax,parallax_over_error,pm,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,astrometric_excess_noise,ruwe,simbad_name,otype,nbref,W1,W2,J,H,K,W1_W2,dist_pc,M_G,M_J
1722694722247854592,243.5486922061812,82.19514369927991,36.00787255670546,285.16937,752.52625,-474.279574609113,584.255630278066,18.157394,21.141191,16.60017,4.5410213,0.94187343,1.0421177,2MASS J16141557+8211327,PM*,3,18.801,18.219,16.371000289916992,15.73900032043457,15.039999961853027,0.58200073,27.771704602241993,15.93938131413535,14.152987604052342
209212907873065344,80.94734353302468,46.38886753731273,33.48586896901864,172.51996,252.40785,-144.7540338184124,-206.77521650019384,18.220242,20.868996,16.668365,4.20063,0.83655417,1.0123421,2MASS J05234758+4623232,LM*,3,15.468,15.266,14.086999893188477,13.57800006866455,13.470999717712402,0.20200062,29.863343278479856,15.844549867496278,11.711307760684756
971347127898766848,95.97111562217144,51.6169933301249,33.124455516802165,190.4112,369.1847,362.6518360240906,-69.14457707897222,17.716906,20.602142,16.175644,4.4264984,0.9648101,0.98053503,Gaia DR3 971347123605410944,WD?,3,18.318,17.322,13.413999557495117,12.765000343322754,12.3100004196167,0.9960003,30.18917547166191,15.317649741442548,11.014743298937663
2225342166607084288,342.2476817352963,68.05474767062131,32.86100873542369,476.45093,622.6959,462.2759369497804,417.1944487038825,16.969065,20.185862,15.481942,4.7039194,0.42513767,0.97626674,NVSS J224904+680335,Rad,2,14.859,14.81,13.043999671936035,12.515999794006348,12.178000450134277,0.048999786,30.431202159719902,14.552469454275515,10.62740412621155
209364885290255616,82.14971134632371,47.20054116964679,32.61708436580704,239.9978,122.796776,-110.9179580945712,-52.69018302635405,17.273355,20.479736,15.766994,4.712742,0.7355089,1.0339133,NVSS J052835+471129,Rad,1,17.981,18.428,15.630000114440918,15.182999610900879,14.961999893188477,-0.4469986,30.658779576518942,14.840580684742283,13.197225799183203
1631578537252535040,253.49992630712623,62.89925239327107,32.485170632628424,341.79633,566.1328,-545.7895558100139,150.39988079404935,18.059563,18.27118,17.823683,0.4474964,0.0,0.9696087,SDSSCGB 68703.4,G,1,15.147,14.87,,,,0.27700043,30.783276816024795,15.617988761481133,
1129107908110522752,172.10620639828363,78.51572809690651,31.60784514518728,299.76044,287.3398,-12.33440367462152,-287.0749619783864,17.488462,20.661566,15.973971,4.6875944,0.66211545,1.0409192,TYC 4552-352-1,*,0,17.055,16.598,13.383000373840332,12.77299976348877,12.366000175476074,0.45700073,31.63771511175805,14.987436444801489,10.881974818641822
420531621029108608,3.357850446110235,54.63534622090124,30.976599032214992,269.0856,981.67145,776.838048750967,600.1679011525896,17.99675,18.63682,17.18859,1.4482307,0.28234968,1.0474571,TYC 3657-1338-1,*,0,16.179,16.247,16.538000106811523,15.800000190734863,15.656000137329102,-0.067998886,32.28243355443965,15.451918670953667,13.993168777765192
982778986516797312,116.04276618044534,51.50702119118117,30.94110159657944,191.83499,65.941505,-16.514460575148117,-63.84007181544284,17.813177,20.888855,16.273165,4.61569,0.809242,1.0649258,2MASS J07441029+5130264,LM*,3,17.864,17.184,16.104999542236328,15.055000305175781,15.145999908447266,0.6800003,32.31946984429768,15.265855859163072,13.5576784013994
2271357312343219456,310.1206777013713,69.99259323842053,30.40164257428496,316.0805,2304.3652,1558.221480040751,1697.6586954672823,17.529474,20.945486,16.022087,4.923399,0.78418547,1.0619081,PSST 15ber,ev,2,18.094,17.862,15.480999946594238,14.906000137329102,14.859000205993652,0.23200035,32.892959568107145,14.94395924397742,12.895485190571657
